model,variant,seqlen,baseline,latency_ms,peak_mem_mb,tflops
bert-base,dense,512,naive,0.226,68.1,14.23
bert-base,dense,512,sdpa,0.077,20.2,41.94
bert-base,dense,512,flash_ref,0.098,20.1,32.77
bert-base,dense,512,attnfuse,0.098,20.1,32.77
bert-base,dense,1024,naive,0.783,224.1,16.46
bert-base,dense,1024,sdpa,0.224,32.3,57.46
bert-base,dense,1024,flash_ref,0.278,32.1,46.43
bert-base,dense,1024,attnfuse,0.281,32.1,45.92
bert-base,dense,2048,naive,4.831,824.1,10.67
bert-base,dense,2048,sdpa,0.78,56.5,66.05
bert-base,dense,2048,flash_ref,0.944,56.1,54.62
bert-base,dense,2048,attnfuse,0.936,56.1,55.07
bert-base,dense,4096,naive,15.08,3176.1,13.67
bert-base,dense,4096,sdpa,2.945,104.9,70.01
bert-base,dense,4096,flash_ref,3.483,104.1,59.19
bert-base,dense,4096,attnfuse,3.524,104.1,58.51
gpt2-small,causal,512,naive,0.372,68.4,8.67
gpt2-small,causal,512,sdpa,0.066,20.2,49.15
gpt2-small,causal,512,flash_ref,0.078,20.1,41.39
gpt2-small,causal,512,attnfuse,0.086,20.1,37.45
gpt2-small,causal,1024,naive,1.318,225.1,9.78
gpt2-small,causal,1024,sdpa,0.17,32.3,75.8
gpt2-small,causal,1024,flash_ref,0.204,32.1,63.23
gpt2-small,causal,1024,attnfuse,0.211,32.1,61.08
gpt2-small,causal,2048,naive,8.104,829.1,6.36
gpt2-small,causal,2048,sdpa,0.469,56.5,109.89
gpt2-small,causal,2048,flash_ref,0.57,56.1,90.36
gpt2-small,causal,2048,attnfuse,0.577,56.1,89.4
gpt2-small,causal,4096,naive,25.915,3192.1,7.96
gpt2-small,causal,4096,sdpa,1.692,104.9,121.87
gpt2-small,causal,4096,flash_ref,1.985,104.1,103.88
gpt2-small,causal,4096,attnfuse,2.002,104.1,102.98
