seqlen,stage,backend,latency_ms,ratio_vs_sdpa
512,fwd,attnfuse,0.110,1.60
512,fwd,sdpa,0.069,1.00
512,bwd,attnfuse,0.583,3.34
512,bwd,sdpa,0.175,1.00
512,fwd+bwd,attnfuse,0.693,2.85
512,fwd+bwd,sdpa,0.243,1.00
1024,fwd,attnfuse,0.153,0.91
1024,fwd,sdpa,0.168,1.00
1024,bwd,attnfuse,0.623,1.34
1024,bwd,sdpa,0.463,1.00
1024,fwd+bwd,attnfuse,0.776,1.23
1024,fwd+bwd,sdpa,0.632,1.00
2048,fwd,attnfuse,0.497,0.98
2048,fwd,sdpa,0.506,1.00
2048,bwd,attnfuse,1.810,1.46
2048,bwd,sdpa,1.242,1.00
2048,fwd+bwd,attnfuse,2.308,1.32
2048,fwd+bwd,sdpa,1.747,1.00
4096,fwd,attnfuse,1.769,1.04
4096,fwd,sdpa,1.694,1.00
4096,bwd,attnfuse,6.551,1.55
4096,bwd,sdpa,4.228,1.00
4096,fwd+bwd,attnfuse,8.320,1.40
4096,fwd+bwd,sdpa,5.922,1.00
