seqlen,stage,backend,latency_ms,ratio_vs_sdpa
512,fwd,attnfuse,0.110,1.67
512,fwd,sdpa,0.066,1.00
512,bwd,attnfuse,0.584,2.62
512,bwd,sdpa,0.223,1.00
512,fwd+bwd,attnfuse,0.694,2.40
512,fwd+bwd,sdpa,0.289,1.00
1024,fwd,attnfuse,0.155,0.92
1024,fwd,sdpa,0.168,1.00
1024,bwd,attnfuse,0.623,1.39
1024,bwd,sdpa,0.449,1.00
1024,fwd+bwd,attnfuse,0.778,1.26
1024,fwd+bwd,sdpa,0.616,1.00
2048,fwd,attnfuse,0.480,0.98
2048,fwd,sdpa,0.490,1.00
2048,bwd,attnfuse,1.927,1.54
2048,bwd,sdpa,1.250,1.00
2048,fwd+bwd,attnfuse,2.407,1.38
2048,fwd+bwd,sdpa,1.740,1.00
4096,fwd,attnfuse,1.799,1.05
4096,fwd,sdpa,1.706,1.00
4096,bwd,attnfuse,6.527,1.54
4096,bwd,sdpa,4.239,1.00
4096,fwd+bwd,attnfuse,8.326,1.40
4096,fwd+bwd,sdpa,5.945,1.00
