variant,seqlen,BLOCK_M,BLOCK_N,num_warps,num_stages,latency_ms
dense,512,64,32,4,3,0.0717
dense,512,64,64,4,3,0.0911
dense,512,64,128,4,2,0.0942
dense,512,64,128,8,2,0.1439
dense,512,128,32,4,4,0.0963
dense,512,128,32,8,3,0.0901
dense,512,128,64,4,3,0.0973
dense,512,128,64,8,2,0.0901
dense,512,128,128,4,2,0.0983
dense,512,128,128,8,2,0.0952
dense,1024,64,32,4,3,0.2437
dense,1024,64,64,4,3,0.2447
dense,1024,64,128,4,2,0.2540
dense,1024,64,128,8,2,0.5294
dense,1024,128,32,4,4,0.2534
dense,1024,128,32,8,3,0.2130
dense,1024,128,64,4,3,0.2463
dense,1024,128,64,8,2,0.2068
dense,1024,128,128,4,2,0.2499
dense,1024,128,128,8,2,0.2519
dense,2048,64,32,4,3,0.7808
dense,2048,64,64,4,3,0.8218
dense,2048,64,128,4,2,0.8274
dense,2048,64,128,8,2,1.7705
dense,2048,128,32,4,4,0.9313
dense,2048,128,32,8,3,0.7916
dense,2048,128,64,4,3,0.9272
dense,2048,128,64,8,2,0.7741
dense,2048,128,128,4,2,0.9257
dense,2048,128,128,8,2,0.9533
dense,4096,64,32,4,3,3.3485
dense,4096,64,64,4,3,3.3249
dense,4096,64,128,4,2,3.3833
dense,4096,64,128,8,2,7.0354
dense,4096,128,32,4,4,3.5364
dense,4096,128,32,8,3,3.1744
dense,4096,128,64,4,3,3.4847
dense,4096,128,64,8,2,3.0843
dense,4096,128,128,4,2,3.4580
dense,4096,128,128,8,2,3.5999
causal,512,64,32,4,3,0.0911
causal,512,64,64,4,3,0.0891
causal,512,64,128,4,2,0.0911
causal,512,64,128,8,2,0.1034
causal,512,128,32,4,4,0.0942
causal,512,128,32,8,3,0.0922
causal,512,128,64,4,3,0.0952
causal,512,128,64,8,2,0.0932
causal,512,128,128,4,2,0.0881
causal,512,128,128,8,2,0.0870
causal,1024,64,32,4,3,0.1526
causal,1024,64,64,4,3,0.1628
causal,1024,64,128,4,2,0.1669
