variant,seqlen,BLOCK_M,BLOCK_N,num_warps,num_stages,latency_ms
dense,512,64,32,4,3,0.0932
dense,512,64,32,4,4,0.0911
dense,512,64,64,4,3,0.0911
dense,512,64,64,8,2,0.1219
dense,512,64,128,4,2,0.0942
dense,512,64,128,8,2,0.1434
dense,512,128,32,4,4,0.0963
dense,512,128,32,8,3,0.0932
dense,512,128,64,4,3,0.0963
dense,512,128,64,8,2,0.0942
dense,512,128,128,4,2,0.0983
dense,512,128,128,8,2,0.0942
dense,512,256,32,8,2,0.1403
dense,512,256,64,8,2,0.1311
dense,512,256,64,4,2,0.1777
dense,1024,64,32,4,3,0.2437
dense,1024,64,32,4,4,0.2427
dense,1024,64,64,4,3,0.2437
dense,1024,64,64,8,2,0.4506
dense,1024,64,128,4,2,0.2529
dense,1024,64,128,8,2,0.5315
dense,1024,128,32,4,4,0.2775
dense,1024,128,32,8,3,0.2171
dense,1024,128,64,4,3,0.2463
dense,1024,128,64,8,2,0.2058
dense,1024,128,128,4,2,0.2509
dense,1024,128,128,8,2,0.2499
dense,1024,256,32,8,2,0.3400
dense,1024,256,64,8,2,0.3174
dense,1024,256,64,4,2,0.7690
dense,2048,64,32,4,3,0.8684
dense,2048,64,32,4,4,0.8054
dense,2048,64,64,4,3,0.8479
dense,2048,64,64,8,2,1.5780
dense,2048,64,128,4,2,0.8842
dense,2048,64,128,8,2,1.8022
dense,2048,128,32,4,4,0.9252
dense,2048,128,32,8,3,0.8131
dense,2048,128,64,4,3,0.9339
dense,2048,128,64,8,2,0.8305
dense,2048,128,128,4,2,0.9308
dense,2048,128,128,8,2,0.9595
dense,2048,256,32,8,2,1.0931
dense,2048,256,64,8,2,1.0158
dense,2048,256,64,4,2,2.6747
dense,4096,64,32,4,3,3.3751
dense,4096,64,32,4,4,3.3761
dense,4096,64,64,4,3,3.3434
dense,4096,64,64,8,2,6.2833
dense,4096,64,128,4,2,3.4304
dense,4096,64,128,8,2,7.1475
dense,4096,128,32,4,4,3.5697
dense,4096,128,32,8,3,3.2266
dense,4096,128,64,4,3,3.5139
dense,4096,128,64,8,2,3.1109
dense,4096,128,128,4,2,3.4888
dense,4096,128,128,8,2,3.6291
dense,4096,256,32,8,2,4.3223
dense,4096,256,64,8,2,4.0504
dense,4096,256,64,4,2,10.3485
causal,512,64,32,4,3,0.0932
causal,512,64,32,4,4,0.0881
causal,512,64,64,4,3,0.0932
causal,512,64,64,8,2,0.0922
causal,512,64,128,4,2,0.0932
causal,512,64,128,8,2,0.0932
causal,512,128,32,4,4,0.0922
causal,512,128,32,8,3,0.0932
causal,512,128,64,4,3,0.0932
causal,512,128,64,8,2,0.0947
causal,512,128,128,4,2,0.0932
causal,512,128,128,8,2,0.0932
causal,512,256,32,8,2,0.0922
causal,512,256,64,8,2,0.0932
causal,512,256,64,4,2,0.0942
causal,1024,64,32,4,3,0.1362
causal,1024,64,32,4,4,0.1357
causal,1024,64,64,4,3,0.1372
causal,1024,64,64,8,2,0.1362
causal,1024,64,128,4,2,0.1362
causal,1024,64,128,8,2,0.1382
causal,1024,128,32,4,4,0.1357
causal,1024,128,32,8,3,0.1367
causal,1024,128,64,4,3,0.1372
causal,1024,128,64,8,2,0.1372
causal,1024,128,128,4,2,0.1372
causal,1024,128,128,8,2,0.1388
causal,1024,256,32,8,2,0.1357
causal,1024,256,64,8,2,0.1377
causal,1024,256,64,4,2,0.1377
causal,2048,64,32,4,3,0.4526
causal,2048,64,32,4,4,0.4659
causal,2048,64,64,4,3,0.4608
causal,2048,64,64,8,2,0.4756
causal,2048,64,128,4,2,0.4562
causal,2048,64,128,8,2,0.4675
causal,2048,128,32,4,4,0.4690
causal,2048,128,32,8,3,0.4608
causal,2048,128,64,4,3,0.4685
causal,2048,128,64,8,2,0.4582
causal,2048,128,128,4,2,0.4695
causal,2048,128,128,8,2,0.4746
causal,2048,256,32,8,2,0.4562
causal,2048,256,64,8,2,0.4731
causal,2048,256,64,4,2,0.4582
causal,4096,64,32,4,3,1.8063
causal,4096,64,32,4,4,1.8263
causal,4096,64,64,4,3,1.8156
causal,4096,64,64,8,2,1.8099
causal,4096,64,128,4,2,1.8120
causal,4096,64,128,8,2,1.8094
causal,4096,128,32,4,4,1.7987
causal,4096,128,32,8,3,1.8099
causal,4096,128,64,4,3,1.8068
causal,4096,128,64,8,2,1.8115
causal,4096,128,128,4,2,1.8207
causal,4096,128,128,8,2,1.8166
causal,4096,256,32,8,2,1.8161
causal,4096,256,64,8,2,1.8074
causal,4096,256,64,4,2,1.8125
sw_w256,512,64,32,4,3,0.0932
sw_w256,512,64,32,4,4,0.0916
sw_w256,512,64,64,4,3,0.0911
sw_w256,512,64,64,8,2,0.0906
sw_w256,512,64,128,4,2,0.1004
sw_w256,512,64,128,8,2,0.0896
sw_w256,512,128,32,4,4,0.0922
sw_w256,512,128,32,8,3,0.0932
sw_w256,512,128,64,4,3,0.1004
sw_w256,512,128,64,8,2,0.0922
sw_w256,512,128,128,4,2,0.0922
sw_w256,512,128,128,8,2,0.0932
sw_w256,512,256,32,8,2,0.0922
sw_w256,512,256,64,8,2,0.0932
sw_w256,512,256,64,4,2,0.0922
sw_w256,1024,64,32,4,3,0.1147
sw_w256,1024,64,32,4,4,0.1137
sw_w256,1024,64,64,4,3,0.1137
sw_w256,1024,64,64,8,2,0.1147
sw_w256,1024,64,128,4,2,0.1157
sw_w256,1024,64,128,8,2,0.1147
sw_w256,1024,128,32,4,4,0.1147
sw_w256,1024,128,32,8,3,0.1147
sw_w256,1024,128,64,4,3,0.1137
sw_w256,1024,128,64,8,2,0.1137
sw_w256,1024,128,128,4,2,0.1147
sw_w256,1024,128,128,8,2,0.1147
sw_w256,1024,256,32,8,2,0.1152
sw_w256,1024,256,64,8,2,0.1157
sw_w256,1024,256,64,4,2,0.1147
sw_w256,2048,64,32,4,3,0.2243
sw_w256,2048,64,32,4,4,0.2243
sw_w256,2048,64,64,4,3,0.2232
sw_w256,2048,64,64,8,2,0.2232
sw_w256,2048,64,128,4,2,0.2232
sw_w256,2048,64,128,8,2,0.2232
sw_w256,2048,128,32,4,4,0.2253
sw_w256,2048,128,32,8,3,0.2253
sw_w256,2048,128,64,4,3,0.2243
sw_w256,2048,128,64,8,2,0.2243
sw_w256,2048,128,128,4,2,0.2232
sw_w256,2048,128,128,8,2,0.2232
sw_w256,2048,256,32,8,2,0.2232
sw_w256,2048,256,64,8,2,0.2248
sw_w256,2048,256,64,4,2,0.2263
sw_w256,4096,64,32,4,3,0.4449
sw_w256,4096,64,32,4,4,0.4710
sw_w256,4096,64,64,4,3,0.4536
sw_w256,4096,64,64,8,2,0.4680
sw_w256,4096,64,128,4,2,0.4490
sw_w256,4096,64,128,8,2,0.4710
sw_w256,4096,128,32,4,4,0.4506
sw_w256,4096,128,32,8,3,0.4695
sw_w256,4096,128,64,4,3,0.4526
sw_w256,4096,128,64,8,2,0.4659
sw_w256,4096,128,128,4,2,0.4649
sw_w256,4096,128,128,8,2,0.4536
sw_w256,4096,256,32,8,2,0.4680
sw_w256,4096,256,64,8,2,0.4495
sw_w256,4096,256,64,4,2,0.4680
causal_alibi,512,64,32,4,3,0.0932
causal_alibi,512,64,32,4,4,0.0937
causal_alibi,512,64,64,4,3,0.0911
causal_alibi,512,64,64,8,2,0.0901
causal_alibi,512,64,128,4,2,0.0922
causal_alibi,512,64,128,8,2,0.0942
causal_alibi,512,128,32,4,4,0.0942
causal_alibi,512,128,32,8,3,0.0942
causal_alibi,512,128,64,4,3,0.0947
causal_alibi,512,128,64,8,2,0.0922
causal_alibi,512,128,128,4,2,0.0932
causal_alibi,512,128,128,8,2,0.0911
causal_alibi,512,256,32,8,2,0.0922
causal_alibi,512,256,64,8,2,0.0901
causal_alibi,512,256,64,4,2,0.0906
causal_alibi,1024,64,32,4,3,0.1352
causal_alibi,1024,64,32,4,4,0.1362
causal_alibi,1024,64,64,4,3,0.1362
causal_alibi,1024,64,64,8,2,0.1372
causal_alibi,1024,64,128,4,2,0.1357
causal_alibi,1024,64,128,8,2,0.1352
causal_alibi,1024,128,32,4,4,0.1367
causal_alibi,1024,128,32,8,3,0.1352
causal_alibi,1024,128,64,4,3,0.1362
causal_alibi,1024,128,64,8,2,0.1362
causal_alibi,1024,128,128,4,2,0.1372
causal_alibi,1024,128,128,8,2,0.1362
causal_alibi,1024,256,32,8,2,0.1362
causal_alibi,1024,256,64,8,2,0.1362
causal_alibi,1024,256,64,4,2,0.1352
causal_alibi,2048,64,32,4,3,0.4495
causal_alibi,2048,64,32,4,4,0.4731
causal_alibi,2048,64,64,4,3,0.4557
causal_alibi,2048,64,64,8,2,0.4690
causal_alibi,2048,64,128,4,2,0.4695
causal_alibi,2048,64,128,8,2,0.4552
causal_alibi,2048,128,32,4,4,0.4726
causal_alibi,2048,128,32,8,3,0.4577
causal_alibi,2048,128,64,4,3,0.4654
causal_alibi,2048,128,64,8,2,0.4664
causal_alibi,2048,128,128,4,2,0.4526
causal_alibi,2048,128,128,8,2,0.4700
causal_alibi,2048,256,32,8,2,0.4664
causal_alibi,2048,256,64,8,2,0.4547
causal_alibi,2048,256,64,4,2,0.4685
causal_alibi,4096,64,32,4,3,1.8278
causal_alibi,4096,64,32,4,4,1.8258
causal_alibi,4096,64,64,4,3,1.8232
causal_alibi,4096,64,64,8,2,1.8278
causal_alibi,4096,64,128,4,2,1.7838
causal_alibi,4096,64,128,8,2,1.8033
causal_alibi,4096,128,32,4,4,1.7900
causal_alibi,4096,128,32,8,3,1.8207
causal_alibi,4096,128,64,4,3,1.8207
causal_alibi,4096,128,64,8,2,1.8145
causal_alibi,4096,128,128,4,2,1.8191
causal_alibi,4096,128,128,8,2,1.8140
causal_alibi,4096,256,32,8,2,1.7981
causal_alibi,4096,256,64,8,2,1.8171
causal_alibi,4096,256,64,4,2,1.8176
