variant,seqlen,backend,latency_ms,tflops,speedup_vs_attnfuse
dense,512,attnfuse,0.095,33.83,1.00
dense,512,flex,0.133,24.20,0.72
causal,512,attnfuse,0.102,31.46,1.00
causal,512,flex,0.108,29.96,0.95
sw_w256,512,attnfuse,0.099,32.43,1.00
sw_w256,512,flex,0.103,31.15,0.96
causal_alibi,512,attnfuse,0.102,31.46,1.00
causal_alibi,512,flex,0.107,30.10,0.96
dense,1024,attnfuse,0.231,55.68,1.00
dense,1024,flex,0.228,56.43,1.01
causal,1024,attnfuse,0.153,84.45,1.00
causal,1024,flex,0.175,73.58,0.87
sw_w256,1024,attnfuse,0.127,50.74,1.00
sw_w256,1024,flex,0.146,44.00,0.87
causal_alibi,1024,attnfuse,0.151,85.31,1.00
causal_alibi,1024,flex,0.177,72.73,0.85
dense,2048,attnfuse,0.858,60.06,1.00
dense,2048,flex,0.809,63.67,1.06
causal,2048,attnfuse,0.478,107.78,1.00
causal,2048,flex,0.465,110.74,1.03
sw_w256,2048,attnfuse,0.227,56.68,1.00
sw_w256,2048,flex,0.247,52.21,0.92
causal_alibi,2048,attnfuse,0.451,114.39,1.00
causal_alibi,2048,flex,0.483,106.75,0.93
dense,4096,attnfuse,3.083,66.86,1.00
dense,4096,flex,2.939,70.15,1.05
causal,4096,attnfuse,1.787,115.34,1.00
causal,4096,flex,1.708,120.70,1.05
sw_w256,4096,attnfuse,0.459,56.17,1.00
sw_w256,4096,flex,0.480,53.72,0.96
causal_alibi,4096,attnfuse,1.801,114.46,1.00
causal_alibi,4096,flex,1.721,119.80,1.05
