variant,seqlen,backend,latency_ms,tflops,speedup_vs_attnfuse
dense,512,attnfuse,0.098,32.77,1.00
dense,512,flex,0.139,23.13,0.71
causal,512,attnfuse,0.097,33.11,1.00
causal,512,flex,0.105,30.54,0.92
sw_w256,512,attnfuse,0.103,31.15,1.00
sw_w256,512,flex,0.109,29.68,0.95
causal_alibi,512,attnfuse,0.091,35.54,1.00
causal_alibi,512,flex,0.108,29.82,0.84
dense,1024,attnfuse,0.276,46.60,1.00
dense,1024,flex,0.225,57.20,1.23
causal,1024,attnfuse,0.205,62.91,1.00
causal,1024,flex,0.173,74.68,1.19
sw_w256,1024,attnfuse,0.199,32.43,1.00
sw_w256,1024,flex,0.147,43.84,1.35
causal_alibi,1024,attnfuse,0.215,60.06,1.00
causal_alibi,1024,flex,0.177,72.94,1.21
dense,2048,attnfuse,1.023,50.38,1.00
dense,2048,flex,0.841,61.31,1.22
causal,2048,attnfuse,0.623,82.71,1.00
causal,2048,flex,0.472,109.18,1.32
sw_w256,2048,attnfuse,0.340,37.90,1.00
sw_w256,2048,flex,0.248,52.00,1.37
causal_alibi,2048,attnfuse,0.588,87.69,1.00
causal_alibi,2048,flex,0.538,95.87,1.09
dense,4096,attnfuse,3.786,54.46,1.00
dense,4096,flex,2.914,70.74,1.30
causal,4096,attnfuse,1.968,104.78,1.00
causal,4096,flex,1.670,123.48,1.18
sw_w256,4096,attnfuse,0.695,37.09,1.00
sw_w256,4096,flex,0.472,54.65,1.47
causal_alibi,4096,attnfuse,2.064,99.89,1.00
causal_alibi,4096,flex,1.705,120.88,1.21
