variant,seqlen,backend,latency_ms,tflops,speedup_vs_attnfuse
dense,512,attnfuse,0.080,40.33,1.00
dense,512,flex,0.139,23.13,0.57
causal,512,attnfuse,0.096,33.47,1.00
causal,512,flex,0.106,30.25,0.90
sw_w256,512,attnfuse,0.096,33.47,1.00
sw_w256,512,flex,0.111,29.13,0.87
causal_alibi,512,attnfuse,0.092,34.95,1.00
causal_alibi,512,flex,0.110,29.40,0.84
dense,1024,attnfuse,0.228,56.43,1.00
dense,1024,flex,0.228,56.55,1.00
causal,1024,attnfuse,0.151,85.31,1.00
causal,1024,flex,0.173,74.46,0.87
sw_w256,1024,attnfuse,0.127,50.53,1.00
sw_w256,1024,flex,0.147,43.69,0.86
causal_alibi,1024,attnfuse,0.150,86.18,1.00
causal_alibi,1024,flex,0.178,72.52,0.84
dense,2048,attnfuse,0.860,59.92,1.00
dense,2048,flex,0.840,61.38,1.02
causal,2048,attnfuse,0.495,104.10,1.00
causal,2048,flex,0.517,99.77,0.96
sw_w256,2048,attnfuse,0.246,52.43,1.00
sw_w256,2048,flex,0.271,47.48,0.91
causal_alibi,2048,attnfuse,0.487,105.85,1.00
causal_alibi,2048,flex,0.534,96.61,0.91
dense,4096,attnfuse,3.061,67.34,1.00
dense,4096,flex,2.922,70.54,1.05
causal,4096,attnfuse,1.779,115.90,1.00
causal,4096,flex,1.678,122.84,1.06
sw_w256,4096,attnfuse,0.450,57.33,1.00
sw_w256,4096,flex,0.474,54.41,0.95
causal_alibi,4096,attnfuse,1.773,116.27,1.00
causal_alibi,4096,flex,1.702,121.14,1.04
