variant,seqlen,backend,latency_ms,tflops,speedup_vs_attnfuse
dense,512,attnfuse,0.092,34.95,1.00
dense,512,flex,0.137,23.48,0.67
causal,512,attnfuse,0.093,34.76,1.00
causal,512,flex,0.100,32.10,0.92
sw_w256,512,attnfuse,0.094,34.38,1.00
sw_w256,512,flex,0.108,29.96,0.87
causal_alibi,512,attnfuse,0.095,33.83,1.00
causal_alibi,512,flex,0.109,29.68,0.88
dense,1024,attnfuse,0.229,56.30,1.00
dense,1024,flex,0.224,57.46,1.02
causal,1024,attnfuse,0.153,84.45,1.00
causal,1024,flex,0.178,72.32,0.86
sw_w256,1024,attnfuse,0.128,50.33,1.00
sw_w256,1024,flex,0.146,44.00,0.87
causal_alibi,1024,attnfuse,0.153,84.45,1.00
causal_alibi,1024,flex,0.180,71.49,0.85
dense,2048,attnfuse,0.862,59.81,1.00
dense,2048,flex,0.841,61.31,1.02
causal,2048,attnfuse,0.494,104.42,1.00
causal,2048,flex,0.463,111.23,1.07
sw_w256,2048,attnfuse,0.232,55.55,1.00
sw_w256,2048,flex,0.246,52.32,0.94
causal_alibi,2048,attnfuse,0.484,106.52,1.00
causal_alibi,2048,flex,0.481,107.20,1.01
dense,4096,attnfuse,3.111,66.26,1.00
dense,4096,flex,2.961,69.62,1.05
causal,4096,attnfuse,1.806,114.13,1.00
causal,4096,flex,1.690,121.98,1.07
sw_w256,4096,attnfuse,0.456,56.55,1.00
sw_w256,4096,flex,0.474,54.35,0.96
causal_alibi,4096,attnfuse,1.797,114.75,1.00
causal_alibi,4096,flex,1.739,118.57,1.03
