model,H_q,H_kv,group_size,seqlen,backend,latency_ms,tflops,speedup_vs_flex
llama3-8B,32,8,4,512,attnfuse,0.150,28.73,1.00
llama3-8B,32,8,4,512,flex,0.140,30.73,0.93
llama3-8B,32,8,4,1024,attnfuse,0.449,38.26,1.00
llama3-8B,32,8,4,1024,flex,0.400,42.91,0.89
llama3-8B,32,8,4,2048,attnfuse,1.558,44.11,1.00
llama3-8B,32,8,4,2048,flex,1.208,56.87,0.78
llama3-8B,32,8,4,4096,attnfuse,5.530,49.71,1.00
llama3-8B,32,8,4,4096,flex,4.336,63.40,0.78
llama3-70B,64,8,8,512,attnfuse,0.233,36.79,1.00
llama3-70B,64,8,8,512,flex,0.221,38.84,0.95
llama3-70B,64,8,8,1024,attnfuse,0.774,44.41,1.00
llama3-70B,64,8,8,1024,flex,0.728,47.19,0.94
llama3-70B,64,8,8,2048,attnfuse,2.854,48.16,1.00
llama3-70B,64,8,8,2048,flex,2.321,59.20,0.81
llama3-70B,64,8,8,4096,attnfuse,10.903,50.42,1.00
llama3-70B,64,8,8,4096,flex,8.586,64.03,0.79
falcon-MQA,64,1,64,512,attnfuse,0.223,38.57,1.00
falcon-MQA,64,1,64,512,flex,0.242,35.54,1.09
falcon-MQA,64,1,64,1024,attnfuse,0.824,41.68,1.00
falcon-MQA,64,1,64,1024,flex,0.727,47.29,0.88
falcon-MQA,64,1,64,2048,attnfuse,2.960,46.43,1.00
falcon-MQA,64,1,64,2048,flex,2.299,59.79,0.78
falcon-MQA,64,1,64,4096,attnfuse,10.905,50.41,1.00
falcon-MQA,64,1,64,4096,flex,8.545,64.34,0.78
