model,H_q,H_kv,group_size,seqlen,backend,latency_ms,tflops,speedup_vs_flex
llama3-8B,32,8,4,512,attnfuse,0.158,27.15,1.00
llama3-8B,32,8,4,512,flex,0.143,30.07,0.90
llama3-8B,32,8,4,1024,attnfuse,0.433,39.66,1.00
llama3-8B,32,8,4,1024,flex,0.400,42.91,0.92
llama3-8B,32,8,4,2048,attnfuse,1.408,48.81,1.00
llama3-8B,32,8,4,2048,flex,1.181,58.20,0.84
llama3-8B,32,8,4,4096,attnfuse,4.614,59.58,1.00
llama3-8B,32,8,4,4096,flex,4.333,63.44,0.94
llama3-70B,64,8,8,512,attnfuse,0.228,37.62,1.00
llama3-70B,64,8,8,512,flex,0.212,40.52,0.93
llama3-70B,64,8,8,1024,attnfuse,0.689,49.86,1.00
llama3-70B,64,8,8,1024,flex,0.646,53.18,0.94
llama3-70B,64,8,8,2048,attnfuse,2.395,57.38,1.00
llama3-70B,64,8,8,2048,flex,2.456,55.96,1.03
llama3-70B,64,8,8,4096,attnfuse,8.954,61.40,1.00
llama3-70B,64,8,8,4096,flex,8.521,64.52,0.95
falcon-MQA,64,1,64,512,attnfuse,0.226,37.96,1.00
falcon-MQA,64,1,64,512,flex,0.220,39.02,0.97
falcon-MQA,64,1,64,1024,attnfuse,0.711,48.31,1.00
falcon-MQA,64,1,64,1024,flex,0.675,50.92,0.95
falcon-MQA,64,1,64,2048,attnfuse,4.880,28.16,1.00
falcon-MQA,64,1,64,2048,flex,4.734,29.03,0.97
falcon-MQA,64,1,64,4096,attnfuse,8.989,61.16,1.00
falcon-MQA,64,1,64,4096,flex,8.513,64.58,0.95
