model,H_q,H_kv,group_size,seqlen,backend,latency_ms,tflops,speedup_vs_flex
llama3-8B,32,8,4,512,attnfuse,0.157,27.41,1.00
llama3-8B,32,8,4,512,flex,0.141,30.39,0.90
llama3-8B,32,8,4,1024,attnfuse,0.431,39.90,1.00
llama3-8B,32,8,4,1024,flex,0.399,43.02,0.93
llama3-8B,32,8,4,2048,attnfuse,1.401,49.04,1.00
llama3-8B,32,8,4,2048,flex,1.196,57.46,0.85
llama3-8B,32,8,4,4096,attnfuse,4.607,59.67,1.00
llama3-8B,32,8,4,4096,flex,4.348,63.22,0.94
llama3-70B,64,8,8,512,attnfuse,0.229,37.45,1.00
llama3-70B,64,8,8,512,flex,0.212,40.52,0.92
llama3-70B,64,8,8,1024,attnfuse,0.679,50.57,1.00
llama3-70B,64,8,8,1024,flex,0.646,53.18,0.95
llama3-70B,64,8,8,2048,attnfuse,2.401,57.24,1.00
llama3-70B,64,8,8,2048,flex,2.310,59.49,0.96
llama3-70B,64,8,8,4096,attnfuse,8.930,61.56,1.00
llama3-70B,64,8,8,4096,flex,8.518,64.54,0.95
falcon-MQA,64,1,64,512,attnfuse,0.223,38.48,1.00
falcon-MQA,64,1,64,512,flex,0.215,40.04,0.96
falcon-MQA,64,1,64,1024,attnfuse,0.678,50.69,1.00
falcon-MQA,64,1,64,1024,flex,0.647,53.09,0.95
falcon-MQA,64,1,64,2048,attnfuse,2.382,57.69,1.00
falcon-MQA,64,1,64,2048,flex,2.303,59.67,0.97
falcon-MQA,64,1,64,4096,attnfuse,8.937,61.51,1.00
falcon-MQA,64,1,64,4096,flex,8.518,64.54,0.95
