seqlen,stage,backend,latency_ms,speedup_vs_sdpa
512,fwd,sdpa,3.941,1.00
512,fwd,flex_attention,nan,nan
512,fwd,attnfuse,3.968,1.01
512,fwd+bwd+step,sdpa,13.076,1.00
512,fwd+bwd+step,flex_attention,nan,nan
512,fwd+bwd+step,attnfuse,14.775,1.13
1024,fwd,sdpa,7.691,1.00
1024,fwd,flex_attention,nan,nan
1024,fwd,attnfuse,7.995,1.04
1024,fwd+bwd+step,sdpa,23.410,1.00
1024,fwd+bwd+step,flex_attention,nan,nan
1024,fwd+bwd+step,attnfuse,24.806,1.06
2048,fwd,sdpa,15.591,1.00
2048,fwd,flex_attention,nan,nan
2048,fwd,attnfuse,16.474,1.06
2048,fwd+bwd+step,sdpa,45.187,1.00
2048,fwd+bwd+step,flex_attention,nan,nan
2048,fwd+bwd+step,attnfuse,50.343,1.11
