model,H_q,H_kv,cache_len,backend,latency_us,tflops,speedup_vs_flex
llama3-8B,32,8,1024,attnfuse,116.7,0.144,1.00
llama3-8B,32,8,1024,flex,167.9,0.100,1.44
llama3-8B,32,8,4096,attnfuse,400.4,0.168,1.00
llama3-8B,32,8,4096,flex,175.1,0.383,0.44
llama3-8B,32,8,16384,attnfuse,1577.0,0.170,1.00
llama3-8B,32,8,16384,flex,176.1,1.524,0.11
llama3-8B,32,8,32768,attnfuse,3146.8,0.171,1.00
llama3-8B,32,8,32768,flex,184.8,2.905,0.06
llama3-70B,64,8,1024,attnfuse,108.0,0.311,1.00
llama3-70B,64,8,1024,flex,170.0,0.197,1.57
llama3-70B,64,8,4096,attnfuse,403.5,0.333,1.00
llama3-70B,64,8,4096,flex,166.9,0.804,0.41
llama3-70B,64,8,16384,attnfuse,1581.1,0.340,1.00
llama3-70B,64,8,16384,flex,167.9,3.197,0.11
llama3-70B,64,8,32768,attnfuse,3152.9,0.341,1.00
llama3-70B,64,8,32768,flex,186.4,5.761,0.06
falcon-MQA,64,1,1024,attnfuse,105.5,0.318,1.00
falcon-MQA,64,1,1024,flex,167.9,0.200,1.59
falcon-MQA,64,1,4096,attnfuse,393.2,0.341,1.00
falcon-MQA,64,1,4096,flex,165.9,0.809,0.42
falcon-MQA,64,1,16384,attnfuse,1773.6,0.303,1.00
falcon-MQA,64,1,16384,flex,170.0,3.158,0.10
falcon-MQA,64,1,32768,attnfuse,3155.5,0.340,1.00
falcon-MQA,64,1,32768,flex,175.1,6.132,0.06
