model,H_q,H_kv,cache_len,backend,latency_us,tflops,speedup_vs_flex
llama3-8B,32,8,1024,attnfuse,164.9,0.102,1.00
llama3-8B,32,8,1024,flex,171.0,0.098,1.04
llama3-8B,32,8,4096,attnfuse,160.8,0.417,1.00
llama3-8B,32,8,4096,flex,172.5,0.389,1.07
llama3-8B,32,8,16384,attnfuse,169.0,1.589,1.00
llama3-8B,32,8,16384,flex,174.1,1.542,1.03
llama3-8B,32,8,32768,attnfuse,287.7,1.866,1.00
llama3-8B,32,8,32768,flex,194.6,2.759,0.68
llama3-70B,64,8,1024,attnfuse,164.9,0.204,1.00
llama3-70B,64,8,1024,flex,176.1,0.191,1.07
llama3-70B,64,8,4096,attnfuse,167.9,0.799,1.00
llama3-70B,64,8,4096,flex,171.0,0.785,1.02
llama3-70B,64,8,16384,attnfuse,278.5,1.928,1.00
llama3-70B,64,8,16384,flex,165.9,3.236,0.60
llama3-70B,64,8,32768,attnfuse,551.4,1.947,1.00
llama3-70B,64,8,32768,flex,196.6,5.461,0.36
falcon-MQA,64,1,1024,attnfuse,162.8,0.206,1.00
falcon-MQA,64,1,1024,flex,175.1,0.192,1.08
falcon-MQA,64,1,4096,attnfuse,167.9,0.799,1.00
falcon-MQA,64,1,4096,flex,178.2,0.753,1.06
falcon-MQA,64,1,16384,attnfuse,271.4,1.978,1.00
falcon-MQA,64,1,16384,flex,176.1,3.048,0.65
falcon-MQA,64,1,32768,attnfuse,537.6,1.997,1.00
falcon-MQA,64,1,32768,flex,179.2,5.992,0.33
