model,H_q,H_kv,cache_len,backend,latency_us,tflops,speedup_vs_flex
llama3-8B,32,8,1024,attnfuse,165.9,0.101,1.00
llama3-8B,32,8,1024,flex,172.0,0.098,1.04
llama3-8B,32,8,4096,attnfuse,162.8,0.412,1.00
llama3-8B,32,8,4096,flex,173.1,0.388,1.06
llama3-8B,32,8,16384,attnfuse,172.0,1.560,1.00
llama3-8B,32,8,16384,flex,177.2,1.515,1.03
llama3-8B,32,8,32768,attnfuse,284.7,1.886,1.00
llama3-8B,32,8,32768,flex,194.6,2.759,0.68
llama3-70B,64,8,1024,attnfuse,163.8,0.205,1.00
llama3-70B,64,8,1024,flex,176.1,0.191,1.08
llama3-70B,64,8,4096,attnfuse,172.0,0.780,1.00
llama3-70B,64,8,4096,flex,177.2,0.758,1.03
llama3-70B,64,8,16384,attnfuse,286.7,1.872,1.00
llama3-70B,64,8,16384,flex,177.2,3.031,0.62
llama3-70B,64,8,32768,attnfuse,554.0,1.938,1.00
llama3-70B,64,8,32768,flex,195.6,5.490,0.35
falcon-MQA,64,1,1024,attnfuse,164.9,0.204,1.00
falcon-MQA,64,1,1024,flex,178.2,0.188,1.08
falcon-MQA,64,1,4096,attnfuse,170.5,0.787,1.00
falcon-MQA,64,1,4096,flex,179.2,0.749,1.05
falcon-MQA,64,1,16384,attnfuse,269.3,1.993,1.00
falcon-MQA,64,1,16384,flex,170.0,3.158,0.63
falcon-MQA,64,1,32768,attnfuse,533.5,2.013,1.00
falcon-MQA,64,1,32768,flex,172.0,6.242,0.32
