model,H_q,H_kv,cache_len,backend,latency_us,tflops,speedup_vs_flex
llama3-8B,32,8,1024,attnfuse,160.8,0.104,1.00
llama3-8B,32,8,1024,flex,171.5,0.098,1.07
llama3-8B,32,8,4096,attnfuse,162.8,0.412,1.00
llama3-8B,32,8,4096,flex,173.1,0.388,1.06
llama3-8B,32,8,16384,attnfuse,165.9,1.618,1.00
llama3-8B,32,8,16384,flex,175.1,1.533,1.06
llama3-8B,32,8,32768,attnfuse,288.8,1.859,1.00
llama3-8B,32,8,32768,flex,195.6,2.745,0.68
llama3-70B,64,8,1024,attnfuse,163.8,0.205,1.00
llama3-70B,64,8,1024,flex,167.9,0.200,1.03
llama3-70B,64,8,4096,attnfuse,165.9,0.809,1.00
llama3-70B,64,8,4096,flex,165.9,0.809,1.00
llama3-70B,64,8,16384,attnfuse,280.6,1.913,1.00
llama3-70B,64,8,16384,flex,170.0,3.158,0.61
llama3-70B,64,8,32768,attnfuse,556.0,1.931,1.00
llama3-70B,64,8,32768,flex,196.6,5.461,0.35
falcon-MQA,64,1,1024,attnfuse,162.8,0.206,1.00
falcon-MQA,64,1,1024,flex,164.9,0.204,1.01
falcon-MQA,64,1,4096,attnfuse,164.9,0.814,1.00
falcon-MQA,64,1,4096,flex,169.0,0.794,1.02
falcon-MQA,64,1,16384,attnfuse,271.9,1.975,1.00
falcon-MQA,64,1,16384,flex,169.0,3.178,0.62
falcon-MQA,64,1,32768,attnfuse,537.1,1.999,1.00
falcon-MQA,64,1,32768,flex,171.0,6.279,0.32
