model,H_q,H_kv,cache_len,backend,latency_us,tflops,speedup_vs_flex
llama3-8B,32,8,1024,attnfuse,166.9,0.101,1.00
llama3-8B,32,8,1024,flex,174.1,0.096,1.04
llama3-8B,32,8,4096,attnfuse,171.0,0.392,1.00
llama3-8B,32,8,4096,flex,179.2,0.374,1.05
llama3-8B,32,8,16384,attnfuse,173.1,1.551,1.00
llama3-8B,32,8,16384,flex,184.3,1.456,1.07
llama3-8B,32,8,32768,attnfuse,182.3,2.945,1.00
llama3-8B,32,8,32768,flex,195.6,2.745,1.07
llama3-70B,64,8,1024,attnfuse,170.0,0.197,1.00
llama3-70B,64,8,1024,flex,174.1,0.193,1.02
llama3-70B,64,8,4096,attnfuse,162.8,0.824,1.00
llama3-70B,64,8,4096,flex,171.0,0.785,1.05
llama3-70B,64,8,16384,attnfuse,166.9,3.216,1.00
llama3-70B,64,8,16384,flex,183.3,2.929,1.10
llama3-70B,64,8,32768,attnfuse,184.3,5.825,1.00
llama3-70B,64,8,32768,flex,196.1,5.476,1.06
falcon-MQA,64,1,1024,attnfuse,169.0,0.199,1.00
falcon-MQA,64,1,1024,flex,179.2,0.187,1.06
falcon-MQA,64,1,4096,attnfuse,165.9,0.809,1.00
falcon-MQA,64,1,4096,flex,181.2,0.741,1.09
falcon-MQA,64,1,16384,attnfuse,164.9,3.256,1.00
falcon-MQA,64,1,16384,flex,175.1,3.066,1.06
falcon-MQA,64,1,32768,attnfuse,170.0,6.317,1.00
falcon-MQA,64,1,32768,flex,183.3,5.858,1.08
