# Config sweep  device=NVIDIA GeForce RTX 3090
# torch=2.5.1+cu121  2026-05-23 02:16:34

=== dense          N=512 ===
  BM= 64 BN= 32 warps=4 stages=3  0.0717 ms *
  BM= 64 BN= 64 warps=4 stages=3  0.0911 ms
  BM= 64 BN=128 warps=4 stages=2  0.0942 ms
  BM= 64 BN=128 warps=8 stages=2  0.1439 ms
  BM=128 BN= 32 warps=4 stages=4  0.0963 ms
  BM=128 BN= 32 warps=8 stages=3  0.0901 ms
  BM=128 BN= 64 warps=4 stages=3  0.0973 ms
  BM=128 BN= 64 warps=8 stages=2  0.0901 ms
  BM=128 BN=128 warps=4 stages=2  0.0983 ms
  BM=128 BN=128 warps=8 stages=2  0.0952 ms

=== dense          N=1024 ===
  BM= 64 BN= 32 warps=4 stages=3  0.2437 ms *
  BM= 64 BN= 64 warps=4 stages=3  0.2447 ms
  BM= 64 BN=128 warps=4 stages=2  0.2540 ms
  BM= 64 BN=128 warps=8 stages=2  0.5294 ms
  BM=128 BN= 32 warps=4 stages=4  0.2534 ms
  BM=128 BN= 32 warps=8 stages=3  0.2130 ms *
  BM=128 BN= 64 warps=4 stages=3  0.2463 ms
  BM=128 BN= 64 warps=8 stages=2  0.2068 ms *
  BM=128 BN=128 warps=4 stages=2  0.2499 ms
  BM=128 BN=128 warps=8 stages=2  0.2519 ms

=== dense          N=2048 ===
  BM= 64 BN= 32 warps=4 stages=3  0.7808 ms *
  BM= 64 BN= 64 warps=4 stages=3  0.8218 ms
  BM= 64 BN=128 warps=4 stages=2  0.8274 ms
  BM= 64 BN=128 warps=8 stages=2  1.7705 ms
  BM=128 BN= 32 warps=4 stages=4  0.9313 ms
  BM=128 BN= 32 warps=8 stages=3  0.7916 ms
  BM=128 BN= 64 warps=4 stages=3  0.9272 ms
  BM=128 BN= 64 warps=8 stages=2  0.7741 ms *
  BM=128 BN=128 warps=4 stages=2  0.9257 ms
  BM=128 BN=128 warps=8 stages=2  0.9533 ms

=== dense          N=4096 ===
  BM= 64 BN= 32 warps=4 stages=3  3.3485 ms *
  BM= 64 BN= 64 warps=4 stages=3  3.3249 ms *
  BM= 64 BN=128 warps=4 stages=2  3.3833 ms
  BM= 64 BN=128 warps=8 stages=2  7.0354 ms
  BM=128 BN= 32 warps=4 stages=4  3.5364 ms
  BM=128 BN= 32 warps=8 stages=3  3.1744 ms *
  BM=128 BN= 64 warps=4 stages=3  3.4847 ms
  BM=128 BN= 64 warps=8 stages=2  3.0843 ms *
  BM=128 BN=128 warps=4 stages=2  3.4580 ms
  BM=128 BN=128 warps=8 stages=2  3.5999 ms

=== causal         N=512 ===
  BM= 64 BN= 32 warps=4 stages=3  0.0911 ms *
  BM= 64 BN= 64 warps=4 stages=3  0.0891 ms *
  BM= 64 BN=128 warps=4 stages=2  0.0911 ms
  BM= 64 BN=128 warps=8 stages=2  0.1034 ms
  BM=128 BN= 32 warps=4 stages=4  0.0942 ms
  BM=128 BN= 32 warps=8 stages=3  0.0922 ms
  BM=128 BN= 64 warps=4 stages=3  0.0952 ms
  BM=128 BN= 64 warps=8 stages=2  0.0932 ms
  BM=128 BN=128 warps=4 stages=2  0.0881 ms *
  BM=128 BN=128 warps=8 stages=2  0.0870 ms *

=== causal         N=1024 ===
  BM= 64 BN= 32 warps=4 stages=3  0.1526 ms *
  BM= 64 BN= 64 warps=4 stages=3  0.1628 ms
  BM= 64 BN=128 warps=4 stages=2  0.1669 ms
  BM= 64 BN=128 warps=8 stages=2  0.3174 ms
  BM=128 BN= 32 warps=4 stages=4  0.2022 ms
  BM=128 BN= 32 warps=8 stages=3  0.1772 ms
  BM=128 BN= 64 warps=4 stages=3  0.2048 ms
  BM=128 BN= 64 warps=8 stages=2  0.1782 ms
  BM=128 BN=128 warps=4 stages=2  0.2028 ms
  BM=128 BN=128 warps=8 stages=2  0.1782 ms

=== causal         N=2048 ===
  BM= 64 BN= 32 warps=4 stages=3  0.4936 ms *
