variant,seqlen,latency_ms,tflops,tc_pct,hbm_gbs,hbm_pct
dense,512,0.0942,34.19,24.1,133.6,14.3
causal,512,0.0942,34.19,24.1,133.6,14.3
sw_w256,512,0.0932,34.57,24.3,135.0,14.4
causal_alibi,512,0.0942,34.19,24.1,133.6,14.3
dense,1024,0.2294,56.17,39.6,109.7,11.7
causal,1024,0.1516,85.02,59.9,166.1,17.7
sw_w256,1024,0.1280,50.33,35.4,147.5,15.8
causal_alibi,1024,0.1444,89.24,62.8,174.3,18.6
dense,2048,0.8279,62.25,43.8,60.8,6.5
causal,2048,0.4854,106.18,74.8,103.7,11.1
sw_w256,2048,0.2417,53.32,37.5,130.2,13.9
causal_alibi,2048,0.4905,105.08,74.0,102.6,11.0
dense,4096,3.1114,66.26,46.7,32.4,3.5
causal,4096,1.8237,113.04,79.6,55.2,5.9
sw_w256,4096,0.5059,50.94,35.9,111.9,12.0
causal_alibi,4096,1.8289,112.72,79.4,55.0,5.9
