seqlen,stage,backend,latency_ms,ratio_vs_sdpa
512,fwd,attnfuse,0.064,2.82
512,fwd,sdpa,0.023,1.00
512,bwd,attnfuse,0.443,2.62
512,bwd,sdpa,0.169,1.00
512,fwd+bwd,attnfuse,0.507,2.64
512,fwd+bwd,sdpa,0.192,1.00
1024,fwd,attnfuse,0.085,1.69
1024,fwd,sdpa,0.050,1.00
1024,bwd,attnfuse,0.430,2.57
1024,bwd,sdpa,0.167,1.00
1024,fwd+bwd,attnfuse,0.515,2.37
1024,fwd+bwd,sdpa,0.218,1.00
2048,fwd,attnfuse,0.243,1.63
2048,fwd,sdpa,0.148,1.00
2048,bwd,attnfuse,0.665,1.51
2048,bwd,sdpa,0.441,1.00
2048,fwd+bwd,attnfuse,0.907,1.54
2048,fwd+bwd,sdpa,0.590,1.00
4096,fwd,attnfuse,0.784,1.61
4096,fwd,sdpa,0.488,1.00
4096,bwd,attnfuse,2.177,1.53
4096,bwd,sdpa,1.427,1.00
4096,fwd+bwd,attnfuse,2.961,1.55
4096,fwd+bwd,sdpa,1.915,1.00
