variant,seqlen,backend,latency_ms,tflops,speedup_vs_attnfuse
causal,512,attnfuse,0.063,25.50,1.00
causal,512,flex,0.051,31.34,0.81
causal_alibi,512,attnfuse,0.060,26.66,1.00
causal_alibi,512,flex,0.051,31.58,0.84
causal_rope,512,attnfuse,0.066,24.44,1.00
causal_rope,512,flex,0.142,11.38,2.15
causal_rope_alibi,512,attnfuse,0.068,23.75,1.00
causal_rope_alibi,512,flex,0.150,10.77,2.21
causal,1024,attnfuse,0.084,76.26,1.00
causal,1024,flex,0.050,128.85,0.59
causal_alibi,1024,attnfuse,0.089,72.24,1.00
causal_alibi,1024,flex,0.062,103.59,0.70
causal_rope,1024,attnfuse,0.117,55.20,1.00
causal_rope,1024,flex,0.149,43.38,1.27
causal_rope_alibi,1024,attnfuse,0.122,52.63,1.00
causal_rope_alibi,1024,flex,0.169,38.17,1.38
causal,2048,attnfuse,0.243,105.97,1.00
causal,2048,flex,0.125,206.70,0.51
causal_alibi,2048,attnfuse,0.256,100.55,1.00
causal_alibi,2048,flex,0.175,147.67,0.68
causal_rope,2048,attnfuse,0.341,75.54,1.00
causal_rope,2048,flex,0.303,85.00,0.89
causal_rope_alibi,2048,attnfuse,0.354,72.77,1.00
causal_rope_alibi,2048,flex,0.348,74.02,0.98
causal,4096,attnfuse,0.781,132.00,1.00
causal,4096,flex,0.402,256.43,0.51
causal_alibi,4096,attnfuse,0.860,119.83,1.00
causal_alibi,4096,flex,0.546,188.81,0.63
causal_rope,4096,attnfuse,1.095,94.15,1.00
causal_rope,4096,flex,0.751,137.33,0.69
causal_rope_alibi,4096,attnfuse,1.154,89.35,1.00
causal_rope_alibi,4096,flex,0.891,115.67,0.77
