variant,seqlen,BLOCK_M,BLOCK_N,num_warps,num_stages,latency_ms
dense,512,64,32,4,3,0.0607
dense,512,64,32,4,4,0.0593
dense,512,64,64,4,3,0.0600
dense,512,64,64,8,2,0.0589
dense,512,64,128,4,2,0.0598
dense,512,64,128,8,2,0.0602
dense,512,128,32,4,4,0.0589
dense,512,128,32,8,3,0.0589
dense,512,128,64,4,3,0.0605
dense,512,128,64,8,2,0.0599
dense,512,128,128,4,2,0.0597
dense,512,128,128,8,2,0.0599
dense,512,256,32,8,2,0.0595
dense,512,256,64,8,2,0.0594
dense,512,256,64,4,2,0.0589
dense,1024,64,32,4,3,0.0645
dense,1024,64,32,4,4,0.0645
dense,1024,64,64,4,3,0.0645
dense,1024,64,64,8,2,0.0645
dense,1024,64,128,4,2,0.0644
dense,1024,64,128,8,2,0.0645
dense,1024,128,32,4,4,0.0644
dense,1024,128,32,8,3,0.0645
dense,1024,128,64,4,3,0.0645
dense,1024,128,64,8,2,0.0645
dense,1024,128,128,4,2,0.0645
dense,1024,128,128,8,2,0.0645
dense,1024,256,32,8,2,0.0645
dense,1024,256,64,8,2,0.0644
dense,1024,256,64,4,2,0.0644
dense,2048,64,32,4,3,0.2376
dense,2048,64,32,4,4,0.2376
dense,2048,64,64,4,3,0.2377
dense,2048,64,64,8,2,0.2377
dense,2048,64,128,4,2,0.2376
dense,2048,64,128,8,2,0.2376
dense,2048,128,32,4,4,0.2376
dense,2048,128,32,8,3,0.2376
dense,2048,128,64,4,3,0.2376
dense,2048,128,64,8,2,0.2375
dense,2048,128,128,4,2,0.2375
dense,2048,128,128,8,2,0.2376
dense,2048,256,32,8,2,0.2375
dense,2048,256,64,8,2,0.2376
dense,2048,256,64,4,2,0.2376
dense,4096,64,32,4,3,0.9014
dense,4096,64,32,4,4,0.9258
dense,4096,64,64,4,3,0.9134
dense,4096,64,64,8,2,0.9320
dense,4096,64,128,4,2,0.9318
dense,4096,64,128,8,2,0.9158
dense,4096,128,32,4,4,0.9160
dense,4096,128,32,8,3,0.9316
dense,4096,128,64,4,3,0.9316
dense,4096,128,64,8,2,0.9162
dense,4096,128,128,4,2,0.9229
dense,4096,128,128,8,2,0.9313
dense,4096,256,32,8,2,0.9318
dense,4096,256,64,8,2,0.9324
dense,4096,256,64,4,2,0.9129
causal,512,64,32,4,3,0.0610
