variant,seqlen,backend,latency_ms,tflops,speedup_vs_attnfuse
dense,512,attnfuse,0.062,52.37,1.00
dense,512,flex,0.063,50.88,0.97
causal,512,attnfuse,0.061,53.19,1.00
causal,512,flex,0.048,66.53,1.25
sw_w256,512,attnfuse,0.062,51.60,1.00
sw_w256,512,flex,0.049,66.16,1.28
causal_alibi,512,attnfuse,0.063,51.20,1.00
causal_alibi,512,flex,0.049,65.18,1.27
dense,1024,attnfuse,0.065,199.23,1.00
dense,1024,flex,0.067,193.58,0.97
causal,1024,attnfuse,0.085,151.94,1.00
causal,1024,flex,0.050,260.28,1.71
sw_w256,1024,attnfuse,0.074,87.46,1.00
sw_w256,1024,flex,0.049,131.37,1.50
causal_alibi,1024,attnfuse,0.089,144.40,1.00
causal_alibi,1024,flex,0.062,207.02,1.43
dense,2048,attnfuse,0.237,217.62,1.00
dense,2048,flex,0.166,311.41,1.43
causal,2048,attnfuse,0.242,213.10,1.00
causal,2048,flex,0.125,412.08,1.93
sw_w256,2048,attnfuse,0.124,104.17,1.00
sw_w256,2048,flex,0.073,175.79,1.69
causal_alibi,2048,attnfuse,0.254,202.57,1.00
causal_alibi,2048,flex,0.176,293.13,1.45
dense,4096,attnfuse,0.925,222.84,1.00
dense,4096,flex,0.622,331.49,1.49
causal,4096,attnfuse,0.867,237.80,1.00
causal,4096,flex,0.404,509.91,2.14
sw_w256,4096,attnfuse,0.243,106.04,1.00
sw_w256,4096,flex,0.143,180.52,1.70
causal_alibi,4096,attnfuse,0.829,248.79,1.00
causal_alibi,4096,flex,0.541,381.04,1.53
