model,H_q,H_kv,cache_len,backend,latency_us,tflops,speedup_vs_flex
llama3-8B,32,8,1024,attnfuse,90.1,0.186,1.00
llama3-8B,32,8,1024,flex,82.9,0.202,0.92
llama3-8B,32,8,4096,attnfuse,89.3,0.752,1.00
llama3-8B,32,8,4096,flex,83.2,0.807,0.93
llama3-8B,32,8,16384,attnfuse,92.3,2.909,1.00
llama3-8B,32,8,16384,flex,85.7,3.132,0.93
llama3-8B,32,8,32768,attnfuse,94.6,5.676,1.00
llama3-8B,32,8,32768,flex,88.0,6.101,0.93
llama3-70B,64,8,1024,attnfuse,87.5,0.383,1.00
llama3-70B,64,8,1024,flex,81.5,0.412,0.93
llama3-70B,64,8,4096,attnfuse,90.4,1.484,1.00
llama3-70B,64,8,4096,flex,82.2,1.632,0.91
llama3-70B,64,8,16384,attnfuse,92.0,5.837,1.00
llama3-70B,64,8,16384,flex,86.0,6.244,0.93
llama3-70B,64,8,32768,attnfuse,93.0,11.545,1.00
llama3-70B,64,8,32768,flex,87.1,12.329,0.94
falcon-MQA,64,1,1024,attnfuse,89.1,0.377,1.00
falcon-MQA,64,1,1024,flex,82.6,0.406,0.93
falcon-MQA,64,1,4096,attnfuse,90.3,1.487,1.00
falcon-MQA,64,1,4096,flex,84.1,1.595,0.93
falcon-MQA,64,1,16384,attnfuse,89.5,5.996,1.00
falcon-MQA,64,1,16384,flex,82.6,6.502,0.92
falcon-MQA,64,1,32768,attnfuse,89.4,12.012,1.00
falcon-MQA,64,1,32768,flex,83.4,12.871,0.93
