seqlen,stage,backend,latency_ms,ratio_vs_sdpa
512,fwd,attnfuse,0.069,3.04
512,fwd,sdpa,0.023,1.00
512,bwd,attnfuse,0.443,2.58
512,bwd,sdpa,0.171,1.00
512,fwd+bwd,attnfuse,0.512,2.64
512,fwd+bwd,sdpa,0.194,1.00
1024,fwd,attnfuse,0.147,2.91
1024,fwd,sdpa,0.050,1.00
1024,bwd,attnfuse,0.372,2.21
1024,bwd,sdpa,0.168,1.00
1024,fwd+bwd,attnfuse,0.518,2.37
1024,fwd+bwd,sdpa,0.219,1.00
2048,fwd,attnfuse,0.437,2.92
2048,fwd,sdpa,0.149,1.00
2048,bwd,attnfuse,0.653,1.47
2048,bwd,sdpa,0.445,1.00
2048,fwd+bwd,attnfuse,1.089,1.83
2048,fwd+bwd,sdpa,0.594,1.00
4096,fwd,attnfuse,1.215,2.50
4096,fwd,sdpa,0.487,1.00
4096,bwd,attnfuse,2.153,1.51
4096,bwd,sdpa,1.423,1.00
4096,fwd+bwd,attnfuse,3.368,1.76
4096,fwd+bwd,sdpa,1.910,1.00
