variant,seqlen,BLOCK_M,BLOCK_N,num_warps,num_stages,latency_ms
dense,512,64,32,4,3,0.0627
dense,512,64,32,4,4,0.0602
dense,512,64,64,4,3,0.0598
dense,512,64,64,8,2,0.0597
dense,512,64,128,4,2,0.0593
dense,512,64,128,8,2,0.0607
dense,512,128,32,4,4,0.0596
dense,512,128,32,8,3,0.0591
dense,512,128,64,4,3,0.0599
dense,512,128,64,8,2,0.0595
dense,512,128,128,4,2,0.0596
dense,512,128,128,8,2,0.0597
dense,512,256,32,8,2,0.0600
dense,512,256,64,8,2,0.0596
dense,512,256,64,4,2,0.0598
dense,1024,64,32,4,3,0.0596
dense,1024,64,32,4,4,0.0597
dense,1024,64,64,4,3,0.0599
dense,1024,64,64,8,2,0.0593
dense,1024,64,128,4,2,0.0604
dense,1024,64,128,8,2,0.0602
dense,1024,128,32,4,4,0.0601
dense,1024,128,32,8,3,0.0604
dense,1024,128,64,4,3,0.0600
dense,1024,128,64,8,2,0.0596
dense,1024,128,128,4,2,0.0599
dense,1024,128,128,8,2,0.0591
dense,1024,256,32,8,2,0.0587
dense,1024,256,64,8,2,0.0593
dense,1024,256,64,4,2,0.0598
dense,2048,64,32,4,3,0.2093
dense,2048,64,32,4,4,0.2092
dense,2048,64,64,4,3,0.2094
dense,2048,64,64,8,2,0.2094
dense,2048,64,128,4,2,0.2094
dense,2048,64,128,8,2,0.2094
dense,2048,128,32,4,4,0.2094
dense,2048,128,32,8,3,0.2094
dense,2048,128,64,4,3,0.2094
dense,2048,128,64,8,2,0.2094
dense,2048,128,128,4,2,0.2095
dense,2048,128,128,8,2,0.2094
dense,2048,256,32,8,2,0.2094
dense,2048,256,64,8,2,0.2094
dense,2048,256,64,4,2,0.2094
dense,4096,64,32,4,3,0.8001
dense,4096,64,32,4,4,0.8072
dense,4096,64,64,4,3,0.8270
dense,4096,64,64,8,2,0.8333
dense,4096,64,128,4,2,0.8248
dense,4096,64,128,8,2,0.8220
dense,4096,128,32,4,4,0.8377
dense,4096,128,32,8,3,0.8270
dense,4096,128,64,4,3,0.8249
dense,4096,128,64,8,2,0.8338
dense,4096,128,128,4,2,0.8380
dense,4096,128,128,8,2,0.8111
dense,4096,256,32,8,2,0.8247
dense,4096,256,64,8,2,0.8190
dense,4096,256,64,4,2,0.8343
causal,512,64,32,4,3,0.0703
causal,512,64,32,4,4,0.0703
causal,512,64,64,4,3,0.0698
causal,512,64,64,8,2,0.0698
causal,512,64,128,4,2,0.0698
causal,512,64,128,8,2,0.0698
causal,512,128,32,4,4,0.0698
causal,512,128,32,8,3,0.0699
causal,512,128,64,4,3,0.0698
causal,512,128,64,8,2,0.0698
causal,512,128,128,4,2,0.0698
causal,512,128,128,8,2,0.0698
causal,512,256,32,8,2,0.0698
causal,512,256,64,8,2,0.0699
causal,512,256,64,4,2,0.0698
causal,1024,64,32,4,3,0.1472
causal,1024,64,32,4,4,0.1472
causal,1024,64,64,4,3,0.1475
causal,1024,64,64,8,2,0.1479
causal,1024,64,128,4,2,0.1479
causal,1024,64,128,8,2,0.1479
causal,1024,128,32,4,4,0.1479
causal,1024,128,32,8,3,0.1476
causal,1024,128,64,4,3,0.1477
causal,1024,128,64,8,2,0.1478
causal,1024,128,128,4,2,0.1478
causal,1024,128,128,8,2,0.1479
causal,1024,256,32,8,2,0.1479
causal,1024,256,64,8,2,0.1477
causal,1024,256,64,4,2,0.1478
causal,2048,64,32,4,3,0.4355
causal,2048,64,32,4,4,0.4357
causal,2048,64,64,4,3,0.4354
causal,2048,64,64,8,2,0.4356
causal,2048,64,128,4,2,0.4355
causal,2048,64,128,8,2,0.4351
causal,2048,128,32,4,4,0.4355
causal,2048,128,32,8,3,0.4352
causal,2048,128,64,4,3,0.4359
causal,2048,128,64,8,2,0.4368
causal,2048,128,128,4,2,0.4366
causal,2048,128,128,8,2,0.4364
causal,2048,256,32,8,2,0.4368
causal,2048,256,64,8,2,0.4366
causal,2048,256,64,4,2,0.4370
causal,4096,64,32,4,3,1.2151
causal,4096,64,32,4,4,1.2131
causal,4096,64,64,4,3,1.2130
causal,4096,64,64,8,2,1.2111
causal,4096,64,128,4,2,1.2101
causal,4096,64,128,8,2,1.2119
causal,4096,128,32,4,4,1.2121
causal,4096,128,32,8,3,1.2123
causal,4096,128,64,4,3,1.2116
causal,4096,128,64,8,2,1.2140
causal,4096,128,128,4,2,1.2131
causal,4096,128,128,8,2,1.2138
causal,4096,256,32,8,2,1.2117
causal,4096,256,64,8,2,1.2124
causal,4096,256,64,4,2,1.2136
sw_w256,512,64,32,4,3,0.0605
sw_w256,512,64,32,4,4,0.0603
sw_w256,512,64,64,4,3,0.0603
sw_w256,512,64,64,8,2,0.0607
sw_w256,512,64,128,4,2,0.0605
sw_w256,512,64,128,8,2,0.0605
sw_w256,512,128,32,4,4,0.0609
sw_w256,512,128,32,8,3,0.0605
sw_w256,512,128,64,4,3,0.0607
sw_w256,512,128,64,8,2,0.0605
sw_w256,512,128,128,4,2,0.0605
sw_w256,512,128,128,8,2,0.0606
sw_w256,512,256,32,8,2,0.0606
sw_w256,512,256,64,8,2,0.0607
sw_w256,512,256,64,4,2,0.0605
sw_w256,1024,64,32,4,3,0.1007
sw_w256,1024,64,32,4,4,0.1006
sw_w256,1024,64,64,4,3,0.1007
sw_w256,1024,64,64,8,2,0.1007
sw_w256,1024,64,128,4,2,0.1007
sw_w256,1024,64,128,8,2,0.1007
sw_w256,1024,128,32,4,4,0.1007
sw_w256,1024,128,32,8,3,0.1006
