variant,seqlen,backend,latency_ms,tflops,speedup_vs_attnfuse
dense,512,attnfuse,0.059,54.38,1.00
dense,512,flex,0.066,48.82,0.90
causal,512,attnfuse,0.069,46.58,1.00
causal,512,flex,0.049,65.81,1.41
sw_w256,512,attnfuse,0.061,52.92,1.00
sw_w256,512,flex,0.052,61.72,1.17
causal_alibi,512,attnfuse,0.070,45.80,1.00
causal_alibi,512,flex,0.051,62.62,1.37
dense,1024,attnfuse,0.059,220.03,1.00
dense,1024,flex,0.071,182.20,0.83
causal,1024,attnfuse,0.146,88.46,1.00
causal,1024,flex,0.054,240.03,2.71
sw_w256,1024,attnfuse,0.100,64.19,1.00
sw_w256,1024,flex,0.051,125.24,1.95
causal_alibi,1024,attnfuse,0.148,87.20,1.00
causal_alibi,1024,flex,0.062,207.02,2.37
dense,2048,attnfuse,0.209,246.76,1.00
dense,2048,flex,0.166,311.32,1.26
causal,2048,attnfuse,0.436,118.33,1.00
causal,2048,flex,0.125,411.45,3.48
sw_w256,2048,attnfuse,0.207,62.21,1.00
sw_w256,2048,flex,0.074,175.07,2.81
causal_alibi,2048,attnfuse,0.413,124.92,1.00
causal_alibi,2048,flex,0.173,298.48,2.39
dense,4096,attnfuse,0.800,257.69,1.00
dense,4096,flex,0.620,332.34,1.29
causal,4096,attnfuse,1.271,162.25,1.00
causal,4096,flex,0.401,514.24,3.17
sw_w256,4096,attnfuse,0.316,81.59,1.00
sw_w256,4096,flex,0.143,180.16,2.21
causal_alibi,4096,attnfuse,1.179,174.90,1.00
causal_alibi,4096,flex,0.542,380.31,2.17
