model,H_q,H_kv,group_size,seqlen,backend,latency_ms,tflops,speedup_vs_flex
llama3-8B,32,8,4,512,attnfuse,0.070,61.34,1.00
llama3-8B,32,8,4,512,flex,0.049,87.04,0.70
llama3-8B,32,8,4,1024,attnfuse,0.200,86.02,1.00
llama3-8B,32,8,4,1024,flex,0.084,204.76,0.42
llama3-8B,32,8,4,2048,attnfuse,0.636,108.13,1.00
llama3-8B,32,8,4,2048,flex,0.248,277.47,0.39
llama3-8B,32,8,4,4096,attnfuse,2.203,124.78,1.00
llama3-8B,32,8,4,4096,flex,0.832,330.21,0.38
llama3-70B,64,8,8,512,attnfuse,0.137,62.70,1.00
llama3-70B,64,8,8,512,flex,0.057,150.81,0.42
llama3-70B,64,8,8,1024,attnfuse,0.355,96.84,1.00
llama3-70B,64,8,8,1024,flex,0.152,226.27,0.43
llama3-70B,64,8,8,2048,attnfuse,1.177,116.79,1.00
llama3-70B,64,8,8,2048,flex,0.464,296.42,0.39
llama3-70B,64,8,8,4096,attnfuse,4.253,129.25,1.00
llama3-70B,64,8,8,4096,flex,1.733,317.25,0.41
falcon-MQA,64,1,64,512,attnfuse,0.142,60.64,1.00
falcon-MQA,64,1,64,512,flex,0.056,153.04,0.40
falcon-MQA,64,1,64,1024,attnfuse,0.355,96.79,1.00
falcon-MQA,64,1,64,1024,flex,0.151,228.07,0.42
falcon-MQA,64,1,64,2048,attnfuse,1.172,117.26,1.00
falcon-MQA,64,1,64,2048,flex,0.462,297.79,0.39
falcon-MQA,64,1,64,4096,attnfuse,4.269,128.79,1.00
falcon-MQA,64,1,64,4096,flex,1.772,310.32,0.42
