model,H_q,H_kv,cache_len,backend,latency_us,tflops,speedup_vs_flex
llama3-8B,32,8,1024,attnfuse,89.9,0.187,1.00
llama3-8B,32,8,1024,flex,82.8,0.203,0.92
llama3-8B,32,8,4096,attnfuse,89.5,0.750,1.00
llama3-8B,32,8,4096,flex,86.0,0.780,0.96
llama3-8B,32,8,16384,attnfuse,92.8,2.892,1.00
llama3-8B,32,8,16384,flex,84.9,3.160,0.92
llama3-8B,32,8,32768,attnfuse,93.8,5.721,1.00
llama3-8B,32,8,32768,flex,88.3,6.081,0.94
llama3-70B,64,8,1024,attnfuse,88.5,0.379,1.00
llama3-70B,64,8,1024,flex,81.4,0.412,0.92
llama3-70B,64,8,4096,attnfuse,90.2,1.488,1.00
llama3-70B,64,8,4096,flex,80.9,1.659,0.90
llama3-70B,64,8,16384,attnfuse,93.0,5.775,1.00
llama3-70B,64,8,16384,flex,85.8,6.258,0.92
llama3-70B,64,8,32768,attnfuse,92.9,11.563,1.00
llama3-70B,64,8,32768,flex,86.1,12.471,0.93
falcon-MQA,64,1,1024,attnfuse,89.2,0.376,1.00
falcon-MQA,64,1,1024,flex,81.2,0.413,0.91
falcon-MQA,64,1,4096,attnfuse,89.2,1.505,1.00
falcon-MQA,64,1,4096,flex,82.9,1.619,0.93
falcon-MQA,64,1,16384,attnfuse,89.5,6.000,1.00
falcon-MQA,64,1,16384,flex,83.0,6.469,0.93
falcon-MQA,64,1,32768,attnfuse,90.6,11.848,1.00
falcon-MQA,64,1,32768,flex,83.3,12.893,0.92
