variant,seqlen,latency_ms,tflops,tc_pct,hbm_gbs,hbm_pct
dense,512,0.0601,53.57,37.7,209.3,22.4
causal,512,0.0694,46.40,32.7,181.2,19.4
sw_w256,512,0.0607,53.09,37.4,207.4,22.2
causal_alibi,512,0.0707,45.56,32.1,178.0,19.0
dense,1024,0.0587,219.55,154.6,428.8,45.8
causal,1024,0.1482,86.93,61.2,169.8,18.1
sw_w256,1024,0.1008,63.89,45.0,187.2,20.0
causal_alibi,1024,0.1475,87.34,61.5,170.6,18.2
dense,2048,0.2097,245.78,173.1,240.0,25.6
causal,2048,0.4407,116.95,82.4,114.2,12.2
sw_w256,2048,0.2100,61.35,43.2,149.8,16.0
causal_alibi,2048,0.4194,122.88,86.5,120.0,12.8
dense,4096,0.8729,236.17,166.3,115.3,12.3
causal,4096,1.2333,167.16,117.7,81.6,8.7
sw_w256,4096,0.3165,81.42,57.3,178.9,19.1
causal_alibi,4096,1.1846,174.03,122.6,85.0,9.1
