==PROF== Connected to process 430768 (/home/azureuser/miniconda3/envs/attnfuse/bin/python3.11)
# profiled dense N=4096 B=4 H=12 D=64 fp16
==PROF== Disconnected from process 430768
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","430768","python3.11","127.0.0.1","attnfuse_fwd_kernel","1","7","(256, 1, 1)","(32, 48, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum.per_second","byte/s","64630737211.09"
"0","430768","python3.11","127.0.0.1","attnfuse_fwd_kernel","1","7","(256, 1, 1)","(32, 48, 1)","0","9.0","Command line profiler metrics","dram__bytes_write.sum.per_second","byte/s","15452294884.43"
"0","430768","python3.11","127.0.0.1","attnfuse_fwd_kernel","1","7","(256, 1, 1)","(32, 48, 1)","0","9.0","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","2.03"
"0","430768","python3.11","127.0.0.1","attnfuse_fwd_kernel","1","7","(256, 1, 1)","(32, 48, 1)","0","9.0","Command line profiler metrics","l1tex__throughput.avg.pct_of_peak_sustained_elapsed","%","33.30"
"0","430768","python3.11","127.0.0.1","attnfuse_fwd_kernel","1","7","(256, 1, 1)","(32, 48, 1)","0","9.0","Command line profiler metrics","launch__block_size","","256"
"0","430768","python3.11","127.0.0.1","attnfuse_fwd_kernel","1","7","(256, 1, 1)","(32, 48, 1)","0","9.0","Command line profiler metrics","launch__registers_per_thread","register/thread","119"
"0","430768","python3.11","127.0.0.1","attnfuse_fwd_kernel","1","7","(256, 1, 1)","(32, 48, 1)","0","9.0","Command line profiler metrics","launch__shared_mem_per_block_allocated","byte/block","66688"
"0","430768","python3.11","127.0.0.1","attnfuse_fwd_kernel","1","7","(256, 1, 1)","(32, 48, 1)","0","9.0","Command line profiler metrics","launch__waves_per_multiprocessor","","5.82"
"0","430768","python3.11","127.0.0.1","attnfuse_fwd_kernel","1","7","(256, 1, 1)","(32, 48, 1)","0","9.0","Command line profiler metrics","lts__throughput.avg.pct_of_peak_sustained_elapsed","%","16.27"
"0","430768","python3.11","127.0.0.1","attnfuse_fwd_kernel","1","7","(256, 1, 1)","(32, 48, 1)","0","9.0","Command line profiler metrics","sm__pipe_tensor_op_hmma_cycles_active.avg.pct_of_peak_sustained_elapsed","%","30.48"
"0","430768","python3.11","127.0.0.1","attnfuse_fwd_kernel","1","7","(256, 1, 1)","(32, 48, 1)","0","9.0","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","65.74"
"0","430768","python3.11","127.0.0.1","attnfuse_fwd_kernel","1","7","(256, 1, 1)","(32, 48, 1)","0","9.0","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","24.17"
"0","430768","python3.11","127.0.0.1","attnfuse_fwd_kernel","1","7","(256, 1, 1)","(32, 48, 1)","0","9.0","Command line profiler metrics","smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct","%","1.41"
"0","430768","python3.11","127.0.0.1","attnfuse_fwd_kernel","1","7","(256, 1, 1)","(32, 48, 1)","0","9.0","Command line profiler metrics","smsp__warp_issue_stalled_membar_per_warp_active.pct","%","0"
"0","430768","python3.11","127.0.0.1","attnfuse_fwd_kernel","1","7","(256, 1, 1)","(32, 48, 1)","0","9.0","Command line profiler metrics","smsp__warp_issue_stalled_mio_throttle_per_warp_active.pct","%","2.42"
"0","430768","python3.11","127.0.0.1","attnfuse_fwd_kernel","1","7","(256, 1, 1)","(32, 48, 1)","0","9.0","Command line profiler metrics","smsp__warp_issue_stalled_short_scoreboard_per_warp_active.pct","%","7.72"
"0","430768","python3.11","127.0.0.1","attnfuse_fwd_kernel","1","7","(256, 1, 1)","(32, 48, 1)","0","9.0","Command line profiler metrics","smsp__warp_issue_stalled_wait_per_warp_active.pct","%","13.19"
