variant,seqlen,latency_ms,tflops,tc_pct,hbm_gbs,hbm_pct
dense,512,0.0942,34.19,24.1,133.6,14.3
causal,512,0.0778,41.39,29.1,161.7,17.3
sw_w256,512,0.1014,31.78,22.4,124.1,13.3
causal_alibi,512,0.0788,40.85,28.8,159.6,17.0
dense,1024,0.2755,46.78,32.9,91.4,9.8
causal,1024,0.2048,62.91,44.3,122.9,13.1
sw_w256,1024,0.1884,68.39,48.2,133.6,14.3
causal_alibi,1024,0.2145,60.06,42.3,117.3,12.5
dense,2048,1.0179,50.64,35.7,49.4,5.3
causal,2048,0.5565,92.61,65.2,90.4,9.7
sw_w256,2048,0.3215,160.29,112.9,156.5,16.7
causal_alibi,2048,0.6267,82.24,57.9,80.3,8.6
dense,4096,3.456,59.65,42.0,29.1,3.1
causal,4096,1.9456,105.96,74.6,51.7,5.5
sw_w256,4096,0.6513,316.55,222.9,154.6,16.5
causal_alibi,4096,2.0649,99.84,70.3,48.7,5.2
